season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,9,Lock Haven University,West Chester,27.0,42.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2023,9,Hobart College,St. Lawrence,35.0,0.0,False,Liberty League,Liberty League
2023,9,Chowan,West Alabama,6.0,14.0,False,Gulf South,Gulf South
2023,9,Slippery Rock,Clarion,42.0,14.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2023,9,Centre College Kentucky,Sewanee,54.0,22.0,False,Southern Athletic,Southern Athletic
2023,9,Frostburg State,University Of Charleston (WV),25.0,28.0,False,Mountain East,Mountain East
2023,9,St. Anselm,Pace,16.0,23.0,False,Northeast 10,Northeast 10
2023,9,Eastern University,FDU-Florham,19.0,24.0,True,Mid Atlantic,Mid Atlantic
2023,9,Widener,Kings College (PA),31.0,14.0,False,Mid Atlantic,Mid Atlantic
2023,9,Bluefield State,Virginia Union,12.0,57.0,False,Independent DII,CIAA
2023,9,Trinity University TX,Millsaps,63.0,0.0,False,Southern Athletic,Southern Athletic
2023,9,Shenandoah,Averett,49.0,35.0,False,Old Dominion,Old Dominion
2023,9,University of Mary,Minot State,27.0,23.0,False,Northern Sun,Northern Sun
2023,9,Salisbury,College Of New Jersey,27.0,36.0,False,New Jersey,New Jersey
2023,9,Biddeford,Western New England,7.0,42.0,False,Commonwealth Coast,Commonwealth Coast
2023,9,Ferris State,American International,56.0,0.0,False,GLIAC,Northeast 10
2023,9,Southern Virginia,Greensboro College,7.0,47.0,False,USA South,USA South
2023,9,Randolph-Macon,Washington and Lee,35.0,12.0,False,Old Dominion,Old Dominion
2023,9,William Paterson,Christopher Newport,13.0,33.0,False,New Jersey,New Jersey
2023,9,Saint Vincent,Westminster (PA),20.0,22.0,False,Presidents',Presidents'
2023,9,Berry College,Hendrix College,53.0,6.0,False,Southern Athletic,Southern Athletic
2023,9,Waynesburg,Geneva,29.0,43.0,False,Presidents',Presidents'
2023,9,Minnesota Duluth,Bemidji State,31.0,38.0,False,Northern Sun,Northern Sun
